Work ID,Title,Authors,First Publish Year,Edition ID,Edition Count,Bookshelf,My Ratings,Ratings Average,Ratings Count,Has Ebook,Subjects,Subject People,Subject Places,Subject Times
OL46224W,"Foundation and Empire","[Isaac Asimov](https://openlibrary.org/authors/OL34221A/Isaac_Asimov)",1945,,77,Already Read,,4.08,118,True,"Fiction and Psychohistory and Hari Seldon (Fictitious character) and Life on other planets and American Science fiction and Translations into Russian and Science Fiction and Large type books and Seldon, hari (fictitious character), fiction and Fiction, science fiction, general and Trantorian empire (imaginary place), fiction and American literature and Vie extraterrestre and Romans, nouvelles and Psychohistoire and award:retro_hugo","Hari Seldon and Mule","",""
OL46309W,"Second Foundation","[Isaac Asimov](https://openlibrary.org/authors/OL34221A/Isaac_Asimov)",1000,,78,Already Read,,4.30,115,True,"Fiction and Hari Seldon (Fictitious character) and Psychohistory and Life on other planets and Science fiction and Fiction, science fiction, general and Large type books and American literature and Psychological fiction and Vie extraterrestre and Romans, nouvelles and Psychohistoire","Hari Seldon and Mule","","Future"
OL46125W,"Foundation","[Isaac Asimov](https://openlibrary.org/authors/OL34221A/Isaac_Asimov)",1951,,90,Already Read,,4.08,238,True,"Psychohistory and Open Library Staff Picks and Life on other planets and Hari Seldon (Fictitious character) and Fiction and Science Fiction and Long Now Manual for Civilization and Prophecy and Historians and Robots and Large type books and Fiction, science fiction, general and American literature and American Fantasy fiction and Translations into Russian and Vie extraterrestre and Romans, nouvelles and Psychohistoire and Psychological fiction and American Science fiction","Hari Seldon and Hober Mallow and Salvor Hardin","",""
OL10215W,"We","[Yevgeny Ivanovich Zamyatin](https://openlibrary.org/authors/OL30241A/%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_%D0%97%D0%B0%D0%BC%D1%8F%D1%82%D0%B8%D0%BD)",1924,OL17199938M,164,Already Read,,4.00,32,True,"Literature: Texts and Untranslated Fiction - General and Literature - Classics / Criticism and Literary Criticism and Russian & Former Soviet Union and Fiction, science fiction, general and Fiction, dystopian and Classic Literature and Fiction and Science Fiction and Political fiction and Dystopias and Russian fiction and Russian prose and totalitarianism and Russian satire and dystopia and Russian language materials and Authoritarianism and Modern fiction and Russian Novel And Short Story and Literary and Fiction / Literary and Continental european fiction (fictional works by one author) and Corrupt practices and Political science and Electronic surveillance and Criticism and interpretation and Fiction, general and Soviet union, fiction and Biography and My (Zami︠a︡tin, Evgeniĭ Ivanovich) and Science fiction, Russian and Russian Science fiction and Group identity and Pg3476.z34 m913 1983 and Russian fiction--20th century and Satire, russian and Totalitarianism and literature and Pg3476.z34 m913 2006 and 891.73/42","Evgeniĭ Ivanovich Zami︠a︡tin (1884-1937)","Soviet Union and Wallsend and Tyneside","Early 20th century"
OL109515W,"Eden","[Stanisław Lem](https://openlibrary.org/authors/OL29655A/Stanis%C5%82aw_Lem)",1968,OL2184131M,17,Already Read,,3.50,2,True,"Science Fiction and Continental european fiction (fictional works by one author) and Fiction, science fiction, general","","Planet Eden","The Future"
OL2683553W,"The Cyberiad","[Stanisław Lem](https://openlibrary.org/authors/OL29655A/Stanis%C5%82aw_Lem)",1965,,26,Already Read,,3.70,20,True,"Poland in fiction and Fiction and Polish Science fiction and Polish fiction and Polish Short stories and Continental european fiction (fictional works by one author) and Fiction, science fiction, general and Translations into English and Robots and Inventors and Competition (Psychology) and Erzählung and Kurzepik and Polnisch and Fantastyka naukowa polska","Trurl and Klaupacious","Poland and The universe","the universe"
OL2683552W,"Kongres futurologiczny","[Stanisław Lem](https://openlibrary.org/authors/OL29655A/Stanis%C5%82aw_Lem)",1974,,25,Already Read,,4.09,11,True,"Polish fiction and Science fiction and future and Slavic philology and Fiction, science fiction, general and Polish Science fiction","Igon Tichy","Costa Rica and New York",""
OL109524W,"Solaris","[Stanisław Lem](https://openlibrary.org/authors/OL29655A/Stanis%C5%82aw_Lem)",1962,OL24830232M,66,Already Read,,4.29,17,True,"Translations into English and English fiction and Polish Science fiction and Polish fiction and Translations from Polish and Science fiction and Fiction, science fiction, general and Slavic philology","Kris Kelvin","Planet Solaris","The Future"
OL7967812W,"Roadside Picnic","[Arkady Natanovich Strugatsky](https://openlibrary.org/authors/OL182660A/%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D0%B8%D0%B9_%D0%9D%D0%B0%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_%D0%A1%D1%82%D1%80%D1%83%D0%B3%D0%B0%D1%86%D0%BA%D0%B8%D0%B9) and [Boris Natanovich Strugatsky](https://openlibrary.org/authors/OL3121035A/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9D%D0%B0%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_%D0%A1%D1%82%D1%80%D1%83%D0%B3%D0%B0%D1%86%D0%BA%D0%B8%D0%B9)",1977,,13,Already Read,,4.21,33,True,"science fiction and Russian science fiction and alien visitation and anomalies and Russian fiction and Fiction, science fiction, general and Science fiction","","",""
OL1975714W,"A Fire upon the Deep","[Vernor Vinge](https://openlibrary.org/authors/OL2751197A/Vernor_Vinge)",1992,,22,Already Read,,4.25,61,True,"Fiction and Hugo Award Winner and Life on other planets and award:hugo_award=1993 and award:hugo_award=novel and Science fiction and Intellect and Long Now Manual for Civilization and Life on other planets -- Fiction. and Fiction, science fiction, general and Fiction, science fiction, hard science fiction and American Science fiction and Vie extraterrestre and Romans, nouvelles","","",""
OL17634954W,"The Meaning of Human Existence","[Edward Osborne Wilson](https://openlibrary.org/authors/OL141176A)",2014,,1,Already Read,,,,False,"Philosophical anthropology and Human beings, origin and Social evolution and Cosmology and nyt:culture=2014-11-09 and New York Times bestseller and New York Times reviewed and Philosophy and Biological Evolution","","",""
OL10570232W,"We can remember it for you wholesale","[Philip K. Dick](https://openlibrary.org/authors/OL274606A/Philip_K._Dick)",1991,,2,Already Read,,,,False,"","","",""
OL26517819W,"Breakfast at Twilight","[Philip K. Dick](https://openlibrary.org/authors/OL274606A/Philip_K._Dick)",2014,,2,Already Read,,,,False,"","","",""
OL19292731W,"The Turning Wheel","[Philip K. Dick](https://openlibrary.org/authors/OL274606A/Philip_K._Dick)",2015,,2,Already Read,,,,False,"","","",""
OL26517824W,"Shell Game","[Philip K. Dick](https://openlibrary.org/authors/OL274606A/Philip_K._Dick)",2014,,1,Already Read,,,,False,"","","",""
OL16963912W,"The defenders","[Philip K. Dick](https://openlibrary.org/authors/OL274606A/Philip_K._Dick)",2011,,3,Already Read,,4.00,1,True,"Space warfare and Robots and FICTION / General and Fiction","","",""
OL504349W,"La rebelión de las masas","[José Ortega y Gasset](https://openlibrary.org/authors/OL3941062A/Jos%C3%A9_Ortega_y_Gasset)",1929,,73,Already Read,,4.00,2,True,"Civilization and Proletariat and Proletariate and Civilización and Revolutions and Europe and Rewolucje and Cywilizacja and Klasa robotnicza and Civilizacio n. and Europe, civilization and Civilisation and Prolétariat","","Europe and Proletariat. 0 and Europa",""
OL19794391W,"Broken Stars","[Ken Liu](https://openlibrary.org/authors/OL4094327A/Ken_Liu)",2019,,9,Already Read,,4.00,1,False,"Science fiction and Fantasy fiction and Chinese Short stories and Translations into English and Chinese fiction and Chinese Science fiction and History and criticism and FICTION and Collections & Anthologies and Hard Science Fiction","","",""
OL27448026W,"Orbit Twenty","[Damon Knight](https://openlibrary.org/authors/OL2628836A)",1978,OL7275156M,1,Already Read,,,,True,"Science fiction and Short stories","","",""
OL15814W,"Venus","[Ben Bova](https://openlibrary.org/authors/OL23121A)",2000,OL118143M,11,Already Read,,2.50,2,True,"Fiction and Fiction, science fiction, general and Space flight to Venus and Exploration and Planets","","Venus (Planet)",""
OL679360W,"American Gods","[Neil Gaiman](https://openlibrary.org/authors/OL53305A/Neil_Gaiman)",2001,,71,Already Read,,4.28,47,True,"science fiction and fantasy fiction and Americana and fantasy and mythology and Spiritual warfare and Literature and award:hugo_award=2002 and Ex-convicts and Fiction and Hugo Award Winner and New York Times bestseller and American National characteristics and Urban Fantasy and nyt:e-book_fiction=2012-01-14 and award:hugo_award=novel and Widowers and Bodyguards and Roman and Amerikanisches Englisch and Fiction, fantasy, contemporary and Widowers, fiction and Widows, fiction and Coloring books and English fiction and Demonology and Spiritual life and New York Times reviewed and award:nebula_award=novel and Comics & graphic novels, fantasy and English literature and Características nacionales and Novela and Ex-détenus and Romans, nouvelles and Veufs and Gardes du corps and Combat spirituel and Gods","Shadow Moon and Mr. Wednesday and Spider and Anansi and Laura Moon and Hinzelmann and Easter and Whiskey Jack and Loki and Odin and Mr. Ibis and Samantha Black Crow and Bilquis and Media and Mad Sweeney and Czernobog and Mr. Jacquel and Mr. Nancy and Chad Mulligan and Margaret Black Crow and Mr. Town and Mr. World and Technical Boy","Chicago and Illinois (United States) and Chattanooga and Tennessee (United States) and Minnesota (United States) and Wisconsin (United States) and Rock City",""
OL21190280W,"Perils of Perception","[Bobby Duffy](https://openlibrary.org/authors/OL5612854A/Bobby_Duffy)",2018,OL28697057M,3,Already Read,,,,False,"Human behavior and Information science and Sociology of Knowledge and Perception and Truthfulness and falsehood and Ignorance (Theory of knowledge)","","",""
OL59800W,"The Left Hand of Darkness","[Ursula K. Le Guin](https://openlibrary.org/authors/OL31353A/Ursula_K._Le_Guin)",1900,,82,Already Read,,4.30,33,True,"Ciencia-ficción and Hugo Award Winner and award:hugo_award=1970 and award:hugo_award=novel and human nature and gender and space travel and ice age and Science fiction and American literature and Fiction, science fiction, general and LGBTQ gender identity and LGBTQ science fiction & fantasy and collection:otherwise_tiptree_award=winner and award:nebula_award=novel and Life on other planets and Fiction and American Science fiction","","Winter (fictional planet)",""
OL15936512W,"Ready Player One","[Ernest Cline](https://openlibrary.org/authors/OL6941868A)",2008,,37,Already Read,,4.05,254,True,"Regression (Civilization) and Utopias and Virtual reality and Fiction and Puzzles and Fiction, science fiction, action & adventure and Fiction, dystopian and Shared virtual environments and YOUNG ADULT FICTION / Computers & Digital Media and YOUNG ADULT FICTION / Dystopian and YOUNG ADULT FICTION / Media Tie-In and YOUNG ADULT FICTION / Mysteries & Detective Stories and YOUNG ADULT FICTION / Science Fiction / General and nyt:trade-fiction-paperback=2012-06-24 and New York Times bestseller and New York Times reviewed and Gaming and video games and cyberpunk and science fiction and action and adventure and dystopian and Future and Realidad virtual and Ficcion and Regresión (Civilización) and Rompecabezas","Wade Watts and James Donovan Halliday and Nolan Sorrento and Art3mis and Aech and Richard Garriott and Gary Gygax and Wil Wheaton and Cory Doctorow and George Lucas and Kevin Smith and Steven Spielberg","Ohio and United States","2044 and 2045 and Future"
OL1955942W,"Les volcryn","[George R. R. Martin](https://openlibrary.org/authors/OL234664A)",1985,,12,Already Read,,2.67,3,True,"Fiction and Science fiction and Space ships and Murder and Fiction, science fiction, collections & anthologies and American Science fiction","Melantha Jhirl and Royd Eris and Karoly d'Branin","",""
OL1955916W,"The Hedge Knight","[George R. R. Martin](https://openlibrary.org/authors/OL234664A)",1998,,4,Already Read,,3.00,1,False,"Comics & graphic novels, fantasy, general","","",""
OL1955943W,"Sandkings","[George R. R. Martin](https://openlibrary.org/authors/OL234664A)",1981,,6,Already Read,,5.00,1,True,"American Short stories and American Horror tales and Comic books, strips, etc.","","",""
OL11369800W,"Windhaven","[George R. R. Martin](https://openlibrary.org/authors/OL234664A) and [Lisa Tuttle](https://openlibrary.org/authors/OL1126548A)",1981,,21,Already Read,,3.92,12,True,"Fiction and Science Fiction and Life on other planets and Fiction - Fantasy and Fantasy - General and Fiction / Fantasy / General and Imaginary places and Islands and Fantasy fiction and American Science fiction and Revolutions and Flight and Fiction, science fiction, general","","",""
OL257944W,"The Ice Dragon","[George R. R. Martin](https://openlibrary.org/authors/OL234664A) and [Luis Royo](https://openlibrary.org/authors/OL46819A)",2006,,20,Already Read,,4.20,5,True,"Fantasy and Juvenile fiction and Dragons and Fantasy fiction and Fiction and Children's fiction and Dragons, fiction and nyt:young-adult=2014-11-09 and New York Times bestseller","","",""
OL4476294W,"Under the streets of Nice","[Ken Follett](https://openlibrary.org/authors/OL229268A/Ken_Follett)",1986,,6,Already Read,,,,True,"Bank robberies and Biography and Case studies and Crime and criminals and Criminals and Large type books","Albert Spaggiari","France and Nice",""
OL1914074W,"Code to zero","[Ken Follett](https://openlibrary.org/authors/OL229268A/Ken_Follett)",2000,,36,Already Read,,3.43,7,True,"Open Library Staff Picks and Fiction and Science fiction and Suspense fiction and Amnesia and Scientists and Space race and Space flight and Large type books and Anecdotes and Human-animal relationships and Women dog owners and Dogs and Biography and Scientists, fiction and Fiction, science fiction, general and Fiction, suspense and English literature and Roman americain and Litterature americaine and Student and Raumfahrttechnik and Amnesie and Raumfahrt and Fiction, science fiction, action & adventure and Fiction, thrillers, suspense","","United States",""
OL1914089W,"On Wings of Eagles","[Ken Follett](https://openlibrary.org/authors/OL229268A/Ken_Follett)",1983,,48,Already Read,,,,True,"Foreign relations and Iran Hostage Crisis, 1979-1981 and History and Escapes and Nonfiction and Iranian Hostage Crisis, 1979-1981 and Iran Hostage Crisis (1979-1981) fast (OCoLC)fst00978765 and United states, foreign relations, iran and Iran, foreign relations and Iran, history and Prisonniers américains and Electronic data systems corporation and Politique et gouvernement and Évasions and Large type books and United states, history and Affaire des otages américains en Iran, 1979-1981 and Histoire and Fiction, general and Iran hostage crisis, 1979-1981","","Iran and United States","1979-1997 and 1979-"
OL63073W,"The Old Man and the Sea","[Ernest Hemingway](https://openlibrary.org/authors/OL13640A/Ernest_Hemingway)",1952,,224,Already Read,,3.90,182,True,"American Sea stories and Male friendship and Fishers and Fiction and Ameriška književnost and American fiction and Ancianos and Open Library Staff Picks and Fishing stories and Pescadores and Older men and open_syllabus_project and Kratka proza and Friendship and Amistad entre hombres and Ficción and Bildungsromans and American literature and Libros en letra grande and Alegorías and Historias de aventuras and Novela and Literatura estadounidense and Novela estadounidense and Reading Level-Grade 11 and Reading Level-Grade 12 and American fiction (fictional works by one author) and Cuba, fiction and Friendship, fiction and Large type books and Old man and the sea (Hemingway, Ernest) and Hombres and Amistad and Allegories and Metaphorical tales and Big game fishing and Aged men and Psychology and History and criticism and American Fishing stories and Older men in literature and Translations from English and Chinese fiction and Marlins and Courage in men and Pêcheurs and Romans, nouvelles and Hommes âgés and Sea stories and Translations into Swahili and Swahili fiction and Fishers--cuba--fiction and Older men--cuba--fiction and Friendship--fiction and Fishers--fiction and Older men--fiction and Male friendship--fiction and Ps3515.e37 o4 1995 and 813/.52","[Ernest Hemingway](https://openlibrary.org/authors/OL13640A/Ernest_Hemingway) (1899-1961)","Cuba and Gulf Stream and Straits of Florida and Swahili","20th century"
OL1905349W,"El reino del dragón de oro","[Isabel Allende](https://openlibrary.org/authors/OL228079A/Isabel_Allende)",2003,,40,Already Read,,4.00,2,True,"Fiction and Buddhism and Adventure and adventurers and Buried treasure and Himalayas and Grandmothers and Fantasy and Science fiction and Novela juvenil and Periodistas and Oracles in fiction and Journalists and Teenagers in fiction and Spanish language materials and Teenagers and Oracles and Journalists in fiction and Himalaya Mountains Region in fiction and Adolescentes and Oráculos and Tesoros ocultos and Budismo and Ficción juvenil and Aventuras and Ficcion juvenil and Abuelas and Children's fiction and Adventure and adventurers, fiction and Himalaya mountains, fiction and Fantasy fiction and Grandparents, fiction and Buddhism, fiction and Buried treasure, fiction and Adventure stories and Treasure troves and Supernatural and Reporters and Novela and Adventure fiction and Fiction, fantasy, general and Dragons, fiction and Expedition and Großmutter and Enkel and Grossmutter and Icons and Powieść chilijska and Tłumaczenia polskie and Cuentos chilenos and Literatura chilena and Historia de aventuras","","Himalaya Mountains and Himalaya Mountains Region and Himalaja","1970-"
OL110969W,"El Aleph","[Jorge Luis Borges](https://openlibrary.org/authors/OL18928A/Jorge_Luis_Borges)",1949,OL37789016M,62,Already Read,,3.83,6,True,"Cuentos and Short stories and Translations into Italian and Social life and customs and Fiction and Continental european fiction (fictional works by one author) and Study guides and Examinations and Argentine Short stories and Aleph (Borges, Jorge Luis) and Romance literature","[Jorge Luis Borges](https://openlibrary.org/authors/OL18928A/Jorge_Luis_Borges) (1899-1986) and St. Agustine and St. Thomas Aquinas and Boetius","London and Athens and Paris and Rome","1770-1830 and 1810-1890 and 20th century"
OL676009W,"Master and Margarita","[Mikhail Afanasyevich Bulgakov](https://openlibrary.org/authors/OL52940A/%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2%D0%B8%D1%87_%D0%91%D1%83%D0%BB%D0%B3%D0%B0%D0%BA%D0%BE%D0%B2)",1966,OL46976639M,229,Already Read,,4.18,71,True,"satire and humor and Politicians and Good and evil and Alienation and atheism and magicians and bands and political fiction and allegories and Fiction and Literature and Fantasy and Mental illness and Classic Literature and History and Russian Political fiction and Continental european fiction (fictional works by one author) and Moscow (russia), fiction and Fiction, humorous and Fiction, satire and Slavic philology and E guo xiao shuo and Jerusalem, fiction and Soviet union, fiction and Fiction, historical, general and Fiction, action & adventure and Fiction, humorous, general and Jerusalem and Fiction, general and Literature, history and criticism and Russian fiction and Translations into English and Devil and Fiction, political","The Devil and Woland and Koroviev and Behemoth and Azazello and Hella and Pontius Pilate and Yeshua Ha-Notsri and Mikhail Alexandrovich Berlioz and Ivan Nikolayevich Ponyryov and the Master and Margarita and Natasha Prokofyevna and Stephan Bogdanovich Likhodeyev and Grigory Danilovich Rimsky and Ivan Savelyevich Varenukha and Nikanor Ivanovich Bosoy and Fagotto and Aphranius and Levi Matvei and Caiaphas and Judas Iscariot","Russia and Soviet Union and Jerusalem and Moscow and Patriarch's Ponds and Griboyedov's house","1920 and 29–30 CE"
OL1966485W,"The God Delusion","[Richard Dawkins](https://openlibrary.org/authors/OL236174A)",2001,,33,Already Read,,3.83,109,True,"god and atheism and bible and war and delusion and church and religion and children and abuse and jesus and open_syllabus_project and Controversial literature and Areligiosität and Athéisme and Religiekritiek and Atheismus and Philosophy and Atheïsme and Dieu and Irréligion and Nonfiction and Science and Irreligion and Gotteslehre and Religión and Literatura de controversial and Ateísmo and Athâeisme and Atheèisme and Irrâeligion and Dios and Theology and Ouvrages de controverse and Religious Philosophies and Religion and Science and Proof and New York Times reviewed and Evolution and Religionskritik and Biological Evolution and Ateism and Gud and Teori, filosofi and Gott and Din and Ateizm and Tanr♯ł and Dinsizlik and reason and Gottesfrage and Bl2775.3 .d39 2006b and 211.8 and Religion--controversial literature and Bl2775.3 .d39 2006 and 211/.8","Richard Dawkins","",""
OL11808901W,"Cani, camosci, cuculi (e un corvo)","[Mauro Corona](https://openlibrary.org/authors/OL5037108A/Mauro_Corona)",2007,,1,Already Read,,,,True,"","","",""
OL498463W,"The Trial","[Franz Kafka](https://openlibrary.org/authors/OL33146A)",1925,OL2672800M,351,Already Read,,4.20,44,True,"Fiction and Alegorical fiction and Manuscripts and Facsimiles and Trials and Ficción and Procesos criminales and Fiction, psychological and Continental european fiction (fictional works by one author) and Psychological fiction and Prisoners and Legal status, laws and Administration of Criminal justice and Moral and ethical aspects and Novela checoslovaca and Continental european drama (dramatic works by one author) and Totalitarianism and Germanic literature and English literature and Fiction, general and Literatura checoslovaca and Novela alemana and Literatura alemana and Fiction, dystopian and Fiction, classics and German fiction and German literature and German Short stories and Deutschunterricht and Literature and Formas y generos literarios and Novelas and Alemania and Literatura and Fiction, absurdist and German language and Readers and Adaptations and Prozess (Kafka, Franz) and Kafka, Franz, 1883-1924. Prozess and Trials--fiction and Procesos and Alegorías and Pt2621.a26 p713 1998 and 833/.912 and Large type books","Franz Kafka (1883-1924) and Josef K and Leni and Mrs. Grubach and Frau Grubach and Titorelli and Fräulein Bürstner and Fräulein Montag and Uncle Karl and Herr Huld and Vice-President","German literature","Early 20th century and 1920's and 20th century and Siglo XX"
OL20906273W,"L'impero di Cindia","[Federico Rampini](https://openlibrary.org/authors/OL411047A/Federico_Rampini)",2006,OL28318822M,1,Already Read,,,,True,"Sec. 21 and Economic conditions and Social conditions and International Competition","","India and Cina",""
OL38876W,"Typhoon","[Joseph Conrad](https://openlibrary.org/authors/OL19441A/Joseph_Conrad)",1902,,57,Already Read,,4.60,5,True,"English Sea stories and Classic Literature and Fiction and Historical Fiction and Typhoons and Ocean travel and British and irish fiction (fictional works by one author)","","","19th century"
OL37988590W,"Romolo il Grande,","[Friedrich Dürenmatt](https://openlibrary.org/authors/OL3915797A/Friedrich_D%C3%BCrenmatt)",2006,OL51472749M,1,Already Read,,,,False,"","","",""
OL1961811W,"Romance of the three kingdoms","[Luo Guanzhong](https://openlibrary.org/authors/OL235478A)",1644,OL3303162M,71,Already Read,,4.00,4,True,"Three kingdoms, 220-265 and Epic literature, Chinese and Chinese Epic literature and Translations into English and Fiction and China and History and Historical fiction and Chinese Novel And Short Story and Unassigned Title and Asian - General and Other prose: classical, early & medieval and China -- History -- Three kingdoms, 220-265 -- Fiction. and Asian / Middle Eastern history: BCE to c 500 CE and Classic fiction and True Stories and BCE to c 500 CE and Gothic & Romance and Literature - Classics / Criticism and Chinese and Literary Criticism and Classics and Sagas and Asian - Indic and San guo zhi yan yi (Luo, Guanzhong) and Fiction, historical and Near and far eastern fiction (fictional works by one author) and China, fiction and Fiction, historical, general and Novela and Historia","","China","Three kindoms, 220-265 and Three kingdoms, 220-256 and Three kingdoms, 220-265"
OL872932W,"Siddhartha","[Hermann Hesse](https://openlibrary.org/authors/OL76437A)",1922,OL23248426M,204,Already Read,,4.02,42,True,"Alegorías and Buddha (The concept) and Buddha and Buddhism and Buddhism and Buddhist Philosophy and Budismo and Chrestomathies and readers and Classic Literature and Enlightenment (Buddhism) and Ficción and Fiction and Gautama Buddha and German language and History and Iluminación (Budismo) and Literature and Mythology and Readers and Religion and Social life and customs and Spiritual life and Teachings and Bouddhisme and Fictional Works and Mysticism and Literary and Skönlitteratur and Classics and Reading Level-Grade 11 and Reading Level-Grade 12 and German fiction and Manners and customs and Fiction, visionary & metaphysical and Continental european fiction (fictional works by one author) and India, fiction and Fiction, general and Dictionaries and English language and Spanish and French and Religious fiction and Historical fiction and German and Fiction, religious and Germanic literature and Fiction, classics and Novela alemana and Literatura alemana and Romans, nouvelles and Mœurs et coutumes and Philosophie bouddhique and Children's fiction and General and Buddhism--fiction and Buddhist philosophy--fiction and Pt2617.e85 s513 2009","Gautama Buda and Gautama Buddha and Hermann Hesse (1877-1962) and Buddha","India and Inde","Early period, to ca. 250 B.C."
OL10339194W,"Sanshirō","[Natsume Sōseki](https://openlibrary.org/authors/OL2688998A)",1951,,5,Already Read,,,,False,"","","",""
OL31304402W,"A wild sheep chase","[Haruki Murakami](https://openlibrary.org/authors/OL382524A)",2013,OL42955908M,1,Already Read,,,,False,"","","",""
OL6468819W,"Quatermass","[Nigel Kneale](https://openlibrary.org/authors/OL1716427A)",1979,OL14905988M,3,Already Read,,,,True,"Fiction in English and Fiction, science fiction, general","","",""
OL15345911W,"Renaissance","[A. E. van Vogt](https://openlibrary.org/authors/OL24708A)",1979,,3,Already Read,,,,True,"Sex role and Fiction","","",""
OL17453W,"She","[H. Rider Haggard](https://openlibrary.org/authors/OL23326A)",1886,OL5964260M,134,Already Read,,4.67,3,True,"Fiction in English and Adventure and adventurers and Reincarnation and Fiction inEnglish and Allan Quatermain (Fictitious character) and English Adventure stories and Fiction and Immortalism and Adventure and Open Library Staff Picks and Hunting guides and Ayesha (Fictitious character : Haggard) and Women and English Science fiction and Ayesha (Fictitious character : Haggard) -- Fiction and Haggard, h. rider (henry rider), 1856-1925 and Africa, fiction and Fiction, fantasy, general and Ayesha (fictitious character : haggard), fiction and Fiction, action & adventure and Fiction, fantasy, historical and Ayesha (fictitious character : haggard) and Women--africa--fiction and Reincarnation--fiction and Immortalism--fiction and Ayesha (fictitious character : haggard)--fiction and Pr4731 .s6 2006 and 823/.8","Ayesha and She-who-must-be-obeyed and Horace Holly and Leo Vincey","Africa","19th Century"
OL10498510W,"The journey to the west","[Wu Cheng'en](https://openlibrary.org/authors/OL608235A/Wu_Cheng%27en)",1977,OL21196763M,3,Already Read,,,,True,"Chinese fiction and English fiction and Translations from Chinese and Translations into English and Near and far eastern fiction (fictional works by one author)","","",""
OL59679W,"Citizen of the Galaxy","[Robert A. Heinlein](https://openlibrary.org/authors/OL28641A/Robert_A._Heinlein)",1957,,36,Already Read,,3.92,13,True,"Science fiction and Translations into Russian and Space flight -- Fiction and Children's stories and Juvenile fiction and Slaves and Interplanetary voyages and Fiction, science fiction, general and American Science fiction and Child slaves and Fiction and Beggars and Slavery","","",""
OL9138137W,"Saltatempo","[Stefano Benni](https://openlibrary.org/authors/OL86259A)",2001,,2,Already Read,,5.00,1,False,"","","",""
OL118388W,"Flatland","[Edwin Abbott Abbott](https://openlibrary.org/authors/OL20585A)",1884,OL1869591M,538,Already Read,,3.82,82,True,"Fourth dimension and Fiction, general and Open Library Staff Picks and Denkbeeldige landen and Film and video adaptations and Meetkunde and Science Fiction and Geometry and Film adaptations and Fiction and Imaginary places and Historical Fiction and Mathematics and Classic Literature and Specimens and Dimension 4. and Reading Level-Grade 11 and Reading Level-Grade 12 and Large type books and English Science fiction and Wit and Humor as Topic and Long Now Manual for Civilization and Readers (Secondary) and Examinations and SAT (Educational test) and Vocabulary tests and Study guides and English language and Fiction, action & adventure and Fiction, humorous, general and Fiction, fantasy, general and England, fiction and Spirituality and Spiritual life and Sphere and Expanding universe and Drama and Utopias and Fiction, science fiction, general and homeschool curriculum and learn math and Physics and Fiction & literature classics and World literature and Fiction subjects and Science fiction & fantasy","A. Square","Flatland and Spaceland",""
OL110971W,"Ficciones","[Jorge Luis Borges](https://openlibrary.org/authors/OL18928A/Jorge_Luis_Borges)",1945,OL27990627M,78,Already Read,,4.43,30,True,"Anachronisms and speculative fiction and subjective idealism and duodecimals and aneurysms and adjectives and hermeticism and philanthropy and cabala and persecution and Social life and customs and Spanish language books and Readers and Translations into English and Spanish language and Fiction and Spanish fiction and Modern fiction and Literary Criticism and Fiction - General and General and Fiction (fictional works by one author) and Borges, jorge luis, 1899-1986 and Latin american literature, translations into english and Romance literature and CUENTOS ARGENTINOS and Spanish fiction in Spanish and Italian language materials and Argentine Short stories and Manners and customs and Nouvelles argentines and Spanish Short stories and Argentine Science fiction and Novela and Vida social y costumbres","[Jorge Luis Borges](https://openlibrary.org/authors/OL18928A/Jorge_Luis_Borges) and Adolfo Bioy Casares and Herbert Ashe and Ezra Buckley and Jesus Christ and Faucigny Lucinge","Argentina and Tlön and Uqbar and Orbis Tertius and Buenos Aires and Lucerne and London and United States","20th century and 1935-1947 and 17th century and 1947 and 1940 and 1941 and 1942 and 1944"
OL31194742W,"Cyber China","[Xiaolong Qiu](https://openlibrary.org/authors/OL1431656A/Qiu_Xiaolong)",2012,OL42854852M,1,Already Read,,,,True,"Chen, Cao (Personnage fictif) and Romans, nouvelles and Inspecteurs de police and Meurtre and Enquêtes and Blogues and Censure and Conditions sociales","","Chine and Shanghai (Chine)","21e siècle"
OL38501W,"Snow Crash","[Neal Stephenson](https://openlibrary.org/authors/OL19430A)",1992,,35,Already Read,,4.07,163,True,"American Science fiction and Open Library Staff Picks and ready player one and Fiction and Science fiction and Suspense and open_syllabus_project and American fiction and Fiction, science fiction, general and Fiction, humorous and Virtual reality and Fiction, science fiction, hard science fiction and Fiction, humorous, general and Fiction, fantasy, general and Hackers and Computer viruses and Cyberpunk culture and Cyberspace and Sumerian Mythology","","Future America","Future"
